procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 5  0      0 15342584 969516 6088624    0    0   212  1429 5905    2  2  1 98  0  0  0
 1  2      0 14732972 970756 6093600    0    0   416 36287 42216 54639  5  4 87  4  0  0
 0  2      0 14704908 971896 6114352    0    0     0 19287 41265 90871  2  2 90  7  0  0
 2  0      0 14758468 972476 6130952    0    0  5350 70226 65375 168879 14  4 81  2  0  0
 0  0      0 14750400 972676 6139264    0    0   576 14728 12917 24323  5  1 93  1  0  0
 2  0      0 14717432 972920 6174388    0    0  2771 22888 49088 129370  9  3 87  1  0  0
 3  0      0 15030884 972960 6117984    0    0  2771  1812 43694 54015  7  3 90  0  0  0
 2  0      0 15401208 972992 6101504    0    0     0 11628 41973 83504  7  3 89  0  0  0
 1  0      0 15697796 973044 6084136    0    0     0  1884 31683 19594  5  3 92  0  0  0
 2  0      0 15790388 973056 6086024    0    0     0  1000 32349 21861  5  4 91  0  0  0
 2  0      0 15783468 973064 6090472    0    0     0  1644 36084 23363  9  4 87  0  0  0
 2  0      0 15795624 973064 6085356    0    0     0  1344 29593 17374  7  3 90  0  0  0
 2  0      0 15801156 973068 6085884    0    0     0  3196 17230 5649  7  2 91  0  0  0
 2  0      0 15806412 973068 6086248    0    0     0  2964 10480 2634  7  1 91  0  0  0
 2  0      0 15817600 973068 6087904    0    0     0  4416 11897 3112  7  2 91  0  0  0
 2  0      0 15831900 973080 6088664    0    0     0  6368 10776 2470  8  1 91  0  0  0
 2  0      0 15812932 973092 6091796    0    0     0  5144 14814 4431  7  2 91  0  0  0
 2  0      0 15812024 973092 6093276    0    0     0  3648 15939 4561  7  2 91  0  0  0
 2  0      0 15750136 973148 6095896    0    0     0  3100 16560 5066  7  2 91  0  0  0
 2  0      0 15770088 973148 6098140    0    0     0  5732 14130 4261  7  2 91  0  0  0
 5  0      0 15778880 973148 6099688    0    0     0  2952 11125 3263  7  1 91  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 6  0      0 15791824 973148 6099708    0    0     0  5680 11969 3216  7  1 91  0  0  0
 2  0      0 15782780 973148 6101700    0    0     0  4080 8553 2026  8  1 91  0  0  0
 2  0      0 15804224 973152 6105192    0    0     0  5072 13050 3949  7  2 91  0  0  0
 2  0      0 15788160 973176 6107048    0    0     0  4532 9365 2200  8  1 91  0  0  0
 2  0      0 15779624 973180 6109840    0    0     0  4628 11040 2921  8  1 91  0  0  0
 2  0      0 15821424 973180 6111900    0    0     0  4396 9266 2208  8  1 91  0  0  0
 2  0      0 15767904 973196 6114128    0    0     0  7524 11323 2900  8  1 91  0  0  0
 2  0      0 15787140 973200 6116272    0    0     0  4268 7907 1966  8  1 91  0  0  0
 2  0      0 15785120 973200 6119028    0    0     0  8900 10753 2887  7  1 91  0  0  0
 2  0      0 15788652 973204 6121020    0    0     0  4056 10427 2550  8  1 91  0  0  0
 2  0      0 15773576 973212 6123060    0    0     0  4656 9835 2779  8  1 91  0  0  0
 2  0      0 15725112 973212 6126864    0    0     0  5544 11407 4661  8  1 91  0  0  0
 2  0      0 15721120 973240 6128664    0    0     0  5044 11315 3083  8  1 91  0  0  0
 2  0      0 15781404 973240 6131144    0    0     0  9756 7615 1769  8  1 91  0  0  0
 2  0      0 15725568 973256 6133368    0    0     0  9344 11900 5529  8  1 91  0  0  0
21  0      0 16183624 973260 6113020    0    0     0  8648 12858 3712  8  1 91  0  0  0
 5  0      0 16198016 973268 6120056    0    0     4  4296 17591 8100  7  2 91  0  0  0
 2  0      0 16231344 973440 6132276    0    0     0 107588 36176 36381  6  3 91  0  0  0
 2  0      0 16217628 973440 6168028    0    0     0 51412 49157 72889  7  3 90  0  0  0
 6  0      0 16209412 973648 6167276    0    0     0 20464 18919 16855  5  2 93  0  0  0
 0  0      0 16153752 973668 6173628    0    0     0  3444 20031 20840  3  1 96  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0      0 16185916 974596 6205892    0    0     0 63192 42717 68907  5  3 92  1  0  0
 2  0      0 16128356 974604 6207232    0    0     0  3176 9986 3090  8  1 91  0  0  0
 1  0      0 16116504 974624 6208336    0    0     0  3172 9146 3058  7  1 92  0  0  0
 2  0      0 16149420 975416 6215756    0    0     0 17380 16557 9953  5  2 93  1  0  0
 2  0      0 16114560 975416 6221140    0    0     0  3856 12578 4638  7  1 91  0  0  0
 2  0      0 16081220 975416 6223372    0    0     0  4712 11326 3353  8  1 91  0  0  0
 2  0      0 16088320 975416 6225408    0    0     0  3600 9661 2896  8  1 91  0  0  0
 2  0      0 16121900 975416 6228544    0    0     0  3700 12615 4152  7  1 91  0  0  0
 2  0      0 16122500 975424 6230556    0    0     0  5656 9837 3174  8  1 91  0  0  0
 2  0      0 16149852 975424 6232908    0    0     0  4844 11259 3841  8  1 91  0  0  0
 2  0      0 16156208 975424 6235504    0    0     0  4220 11644 3980  7  1 91  0  0  0
 2  0      0 16124584 975424 6237704    0    0     0  4660 10897 3341  8  1 91  0  0  0
 2  0      0 16139280 975424 6239924    0    0     0  4048 9618 2996  8  1 91  0  0  0
 2  0      0 16181408 975432 6243232    0    0     0  6184 11591 3619  8  1 91  0  0  0
 2  0      0 16133076 975432 6244804    0    0     0  1348 8619 2275  8  1 91  0  0  0
 2  0      0 16102868 975432 6247616    0    0     0  6564 12488 4040  8  1 91  0  0  0
 2  0      0 16055480 975432 6249984    0    0     0  4280 11057 3589  8  1 91  0  0  0
 2  0      0 16050204 975432 6252504    0    0     0  4100 9068 2552  8  1 91  0  0  0
 2  0      0 16077228 975440 6255060    0    0     0  7220 9944 3025  8  1 91  0  0  0
 2  0      0 16064548 975440 6259000    0    0     0  3652 16530 5992  7  2 91  0  0  0
 1  1      0 16159212 975816 6223696    0    0    64 70126 24883 24330  6  2 90  2  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0      0 16160768 976036 6225472    0    0     0  4714 11983 11586  4  1 92  3  0  0
 2  0      0 16150620 976236 6226064    0    0     0  6053 12703 8366  3  1 94  1  0  0
 0  1      0 16220976 976544 6190028    0    0    64 22477 24954 25250  3  2 93  2  0  0
 0  0      0 16228056 976752 6190052    0    0     0  2055 7910 12605  0  0 96  4  0  0
 0  1      0 16237308 976788 6190100    0    0     0  1057 3544 3401  0  0 99  0  0  0
 0  0      0 16248804 976988 6190008    0    0     0  3377 5335 5526  0  0 98  1  0  0
 0  0      0 16261256 976988 6190128    0    0     0     0 2818 1786  0  0 99  0  0  0
 0  0      0 16268264 976988 6190828    0    0     0   255 1461 1308  0  0 100  0  0  0
 0  0      0 16265120 976988 6190856    0    0     0     0 1798 1320  0  0 100  0  0  0
 0  1      0 16269536 977820 6190948    0    0     0 13592 7531 10951  0  0 96  3  0  0
 0  1      0 16255320 978332 6191128    0    0   256 10684 9439 12062  0  1 96  3  0  0
 0  1      0 16254348 978840 6191196    0    0     0 11028 8762 11214  0  0 96  4  0  0
 0  1      0 16243496 980100 6190688    0    0     0 14665 9605 13300  0  0 96  4  0  0
 0  1      0 16232920 980624 6190952    0    0   256  9474 8972 11746  1  0 96  3  0  0
 1  0      0 16231168 981192 6191028    0    0     0 11124 9395 11560  0  0 96  4  0  0
 0  1      0 16227936 981836 6191136    0    0     0  9803 9042 12824  0  0 94  5  0  0
 0  1      0 16218536 982236 6191052    0    0    16  8705 9062 12466  1  1 96  3  0  0
 0  1      0 16220308 982620 6191108    0    0     0  8769 8818 13285  1  0 96  4  0  0
 0  1      0 16225100 982996 6191176    0    0     0  9331 10021 14130  0  0 94  5  0  0
 0  1      0 16223736 983388 6191228    0    0     0  8771 8076 13239  0  0 96  4  0  0
 0  1      0 16221976 983912 6191296    0    0    16  8883 10003 12234  1  1 96  3  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  1      0 16227368 984328 6191344    0    0     0  8883 8529 12300  0  0 96  4  0  0
 0  0      0 16218484 984404 6191380    0    0     0  1284 3365 3433  0  0 99  1  0  0
 0  1      0 16224032 984444 6191416    0    0     0   713 1773 1952  0  0 99  0  0  0
 0  1      0 16226132 984892 6191572    0    0     0  9493 8913 12625  0  0 95  4  0  0
 0  0      0 16237732 985172 6191676    0    0     0 14060 9619 14294  0  0 96  3  0  0
 0  0      0 16241332 985172 6191712    0    0     0     0 1660 1261  0  0 100  0  0  0
 0  1      0 16237752 985468 6191828    0    0     0  7861 7896 10601  0  0 96  3  0  0
 1  0      0 16237544 985832 6192084    0    0     0  7339 9564 13007  0  0 95  4  0  0
 0  0      0 16237620 985832 6192132    0    0     0  8871 5919 8606  0  1 99  0  0  0
 3  1      0 16244108 985920 6192072    0    0     0 12133 7394 6696  1  0 99  0  0  0
 0  0      0 16199044 985980 6202652    0    0     0  5432 25473 35479  1  2 97  0  0  0
 1  0      0 16133116 985980 6266496    0    0     0 26300 39684 74970  3  2 96  0  0  0
 2  0      0 16093060 985980 6251168    0    0     0  6040 13738 20262  2  1 97  0  0  0
 1  0      0 16043820 986140 6253844    0    0     0 68776 26448 25476  5  2 92  0  0  0
 1  0      0 15966356 986156 6297816    0    0     0 27144 41143 80497  2  2 96  0  0  0
 2  0      0 15893624 986968 6312388    0    0     0 16744 23232 30172  5  2 93  1  0  0
 1  0      0 15839980 986980 6312324    0    0     0   280 7153 2140  7  1 92  0  0  0
 0  1      0 15918696 987236 6312988    0    0     0  4169 8792 8206  1  1 97  1  0  0
