batch,plan_p,plan_rep,slot,concurrency,make_parallel,start_ts,end_ts,duration_s,exit_code
1,1,1,1,2,1,1770993145,1770993257,112,0
1,1,1,2,2,1,1770993145,1770993259,114,0
2,1,2,1,2,1,1770993259,1770993378,119,0
2,1,2,2,2,1,1770993259,1770993379,120,0
3,1,3,1,2,1,1770993379,1770993500,121,0
3,1,3,2,2,1,1770993379,1770993502,123,0
4,3,1,2,2,3,1770993502,1770993590,88,0
4,3,1,1,2,3,1770993502,1770993591,89,0
5,3,2,1,2,3,1770993591,1770993677,86,0
5,3,2,2,2,3,1770993591,1770993679,88,0
6,3,3,1,2,3,1770993679,1770993771,92,0
6,3,3,2,2,3,1770993679,1770993774,95,0
7,5,1,2,2,5,1770993774,1770993858,84,0
7,5,1,1,2,5,1770993774,1770993861,87,0
8,5,2,2,2,5,1770993861,1770993942,81,0
8,5,2,1,2,5,1770993861,1770993946,85,0
9,5,3,1,2,5,1770993946,1770994031,85,0
9,5,3,2,2,5,1770993946,1770994034,88,0
10,8,1,1,2,8,1770994034,1770994118,84,0
10,8,1,2,2,8,1770994034,1770994118,84,0
11,8,2,1,2,8,1770994118,1770994198,80,0
11,8,2,2,2,8,1770994118,1770994200,82,0
12,8,3,2,2,8,1770994200,1770994280,80,0
12,8,3,1,2,8,1770994200,1770994283,83,0
13,12,1,1,2,12,1770994283,1770994363,80,0
13,12,1,2,2,12,1770994283,1770994364,81,0
14,12,2,1,2,12,1770994364,1770994438,74,0
14,12,2,2,2,12,1770994364,1770994441,77,0
15,12,3,2,2,12,1770994441,1770994521,80,0
15,12,3,1,2,12,1770994441,1770994522,81,0
